,Year,District ID,Name of district,Title of respondent,Type of school, Number of Male teachers,Number of female teachers, Number of teacher's who provide special needs education,Total Number of Teachers,Number of Absent Teachers,Present Teachers
807,2011,104,Luwero,Head teacher,Day,6.0,9.0,,15.0,,
808,2011,104,Luwero,Deputy headteacher,Day,1.0,6.0,2.0,9.0,12.0,-3.0
809,2011,104,Luwero,Head teacher,Day,6.0,9.0,1.0,16.0,,
810,2011,104,Luwero,Head teacher,Day,4.0,6.0,0.0,10.0,1.0,9.0
811,2011,104,Luwero,Head teacher,Day,5.0,6.0,,11.0,31.0,-20.0
812,2011,104,Luwero,Deputy headteacher,Day,2.0,8.0,0.0,10.0,7.0,3.0
813,2011,104,Luwero,Deputy headteacher,Day,5.0,5.0,2.0,12.0,,
814,2011,104,Luwero,Head teacher,Day,3.0,5.0,1.0,9.0,8.0,1.0
815,2011,104,Luwero,Head teacher,Day,5.0,6.0,2.0,13.0,1.0,12.0
816,2011,104,Luwero,Deputy headteacher,Day,6.0,3.0,,9.0,10.0,-1.0
817,2011,104,Luwero,Head teacher,Day,3.0,9.0,,12.0,,
818,2011,104,Luwero,Head teacher,Day,2.0,10.0,12.0,24.0,2.0,22.0
819,2011,104,Luwero,Head teacher,Day,3.0,5.0,,8.0,,
820,2011,104,Luwero,Head teacher,Day,4.0,2.0,,6.0,,
821,2011,104,Luwero,Head teacher,Day,5.0,7.0,,12.0,,
822,2011,104,Luwero,Deputy headteacher,Day,6.0,5.0,1.0,12.0,15.0,-3.0
823,2011,104,Luwero,Senior teacher,Day,8.0,11.0,0.0,19.0,0.0,19.0
824,2011,104,Luwero,Head teacher,Day,3.0,6.0,0.0,9.0,0.0,9.0
825,2011,104,Luwero,Head teacher,Day,3.0,4.0,0.0,7.0,0.0,7.0
826,2011,104,Luwero,Head teacher,Both,5.0,8.0,5.0,18.0,1.0,17.0
827,2011,104,Luwero,Head teacher,Day,2.0,2.0,0.0,4.0,0.0,4.0
828,2011,104,Luwero,Deputy headteacher,Day,3.0,5.0,,8.0,,
829,2011,104,Luwero,Deputy headteacher,Day,5.0,5.0,,10.0,3.0,7.0
830,2011,104,Luwero,Head teacher,Day,6.0,5.0,2.0,13.0,,
831,2011,104,Luwero,Head teacher,Day,1.0,7.0,0.0,8.0,0.0,8.0
832,2011,104,Luwero,Deputy headteacher,Day,6.0,8.0,0.0,14.0,1.0,13.0
833,2011,104,Luwero,Head teacher,Day,4.0,5.0,0.0,9.0,2.0,7.0
834,2011,104,Luwero,Head teacher,Day,3.0,5.0,2.0,10.0,8.0,2.0
2936,2012,104,Luwero,Senior teacher,Day,6.0,5.0,,11.0,3.0,8.0
2937,2012,104,Luwero,Headteacher,Day,7.0,6.0,,13.0,0.0,13.0
2938,2012,104,Luwero,Deputy HM,Day,4.0,5.0,,9.0,1.0,8.0
2939,2012,104,Luwero,Headteacher,Day,5.0,6.0,,11.0,1.0,10.0
2940,2012,104,Luwero,Headteacher,Day,5.0,3.0,,8.0,5.0,3.0
2941,2012,104,Luwero,Headteacher,Day,6.0,2.0,,8.0,0.0,8.0
2942,2012,104,Luwero,Headteacher,Day,6.0,5.0,,11.0,1.0,10.0
2943,2012,104,Luwero,Headteacher,Day,6.0,8.0,,14.0,3.0,11.0
2944,2012,104,Luwero,Deputy HM,Day,5.0,5.0,,10.0,2.0,8.0
2945,2012,104,Luwero,Deputy HM,Day,3.0,8.0,,11.0,11.0,0.0
2946,2012,104,Luwero,Headteacher,Day,5.0,7.0,,12.0,2.0,10.0
2947,2012,104,Luwero,Deputy HM,Day,2.0,12.0,,14.0,24.0,-10.0
2948,2012,104,Luwero,Headteacher,Day,5.0,7.0,,12.0,3.0,9.0
2949,2012,104,Luwero,Headteacher,Day,3.0,5.0,,8.0,4.0,4.0
2950,2012,104,Luwero,Headteacher,Day,2.0,7.0,,9.0,4.0,5.0
2951,2012,104,Luwero,Headteacher,Boarding,5.0,6.0,,11.0,0.0,11.0
2952,2012,104,Luwero,Headteacher,Day,3.0,3.0,,6.0,0.0,6.0
2953,2012,104,Luwero,Headteacher,Day,7.0,4.0,,11.0,5.0,6.0
2954,2012,104,Luwero,Headteacher,Day,7.0,6.0,,13.0,0.0,13.0
2955,2012,104,Luwero,Headteacher,Day,9.0,21.0,,30.0,9.0,21.0
2956,2012,104,Luwero,Senior teacher,Day,7.0,8.0,,15.0,5.0,10.0
2957,2012,104,Luwero,Deputy HM,Day,7.0,7.0,,14.0,0.0,14.0
2958,2012,104,Luwero,Deputy HM,Day,5.0,4.0,,9.0,0.0,9.0
2959,2012,104,Luwero,Senior teacher,Day,7.0,9.0,,16.0,0.0,16.0
2960,2012,104,Luwero,Headteacher,Day,5.0,11.0,,16.0,0.0,16.0
2961,2012,104,Luwero,Headteacher,Day,6.0,5.0,,11.0,3.0,8.0
2962,2012,104,Luwero,Deputy HM,Day,4.0,5.0,,9.0,3.0,6.0
2963,2012,104,Luwero,Deputy HM,Both,8.0,5.0,,13.0,0.0,13.0
2964,2012,104,Luwero,Deputy HM,Day,5.0,5.0,,10.0,1.0,9.0
2965,2012,104,Luwero,Headteacher,Day,5.0,10.0,,15.0,4.0,11.0
